Countries,Year,Descriptions
U.K.,1962,"The main health initiative of the 1960's was the introduction of family planning services and promotion of reproductive health. With the availability of the contraceptive pill, and the NHS Family Planning Act  -  there was a gradual decline in birth rate. Improved maternal and child health services alongside effective vaccination programs contributed to an increase in life expectancy. While beneficial in terms of improved public health - this merely outlines the start of the challenges associated with an aging population."
U.K.,1963,"The main health initiative of the 1960's was the introduction of family planning services and promotion of reproductive health. With the availability of the contraceptive pill, and the NHS Family Planning Act  -  there was a gradual decline in birth rate. Improved maternal and child health services alongside effective vaccination programs contributed to an increase in life expectancy. While beneficial in terms of improved public health - this merely outlines the start of the challenges associated with an aging population."
U.K.,1964,"The main health initiative of the 1960's was the introduction of family planning services and promotion of reproductive health. With the availability of the contraceptive pill, and the NHS Family Planning Act  -  there was a gradual decline in birth rate. Improved maternal and child health services alongside effective vaccination programs contributed to an increase in life expectancy. While beneficial in terms of improved public health - this merely outlines the start of the challenges associated with an aging population."
U.K.,1965,"The main health initiative of the 1960's was the introduction of family planning services and promotion of reproductive health. With the availability of the contraceptive pill, and the NHS Family Planning Act  -  there was a gradual decline in birth rate. Improved maternal and child health services alongside effective vaccination programs contributed to an increase in life expectancy. While beneficial in terms of improved public health - this merely outlines the start of the challenges associated with an aging population."
U.K.,1966,"The main health initiative of the 1960's was the introduction of family planning services and promotion of reproductive health. With the availability of the contraceptive pill, and the NHS Family Planning Act  -  there was a gradual decline in birth rate. Improved maternal and child health services alongside effective vaccination programs contributed to an increase in life expectancy. While beneficial in terms of improved public health - this merely outlines the start of the challenges associated with an aging population."
U.K.,1967,Family Planning Act established - making contraception readily available to the general public.
U.K.,1968,Measles vaccine rollout
U.K.,1969,"The main health initiative of the 1960's was the introduction of family planning services and promotion of reproductive health. With the availability of the contraceptive pill, and the NHS Family Planning Act  -  there was a gradual decline in birth rate. Improved maternal and child health services alongside effective vaccination programs contributed to an increase in life expectancy. While beneficial in terms of improved public health - this merely outlines the start of the challenges associated with an aging population."
U.K.,1970,"With life expectancy growing, and the threat of communicable diseases greatly diminishing with vaccine rollouts - priority was now given to preventable deaths. Causes of increased mortality like lung disease, coronary heart disease, cirrhosis of the liver were all largely caused by poor lifestyles, stressing the importance of individual prevention and responsibility for health. "
U.K.,1971,"With life expectancy growing, and the threat of communicable diseases greatly diminishing with vaccine rollouts - priority was now given to preventable deaths. Causes of increased mortality like lung disease, coronary heart disease, cirrhosis of the liver were all largely caused by poor lifestyles, stressing the importance of individual prevention and responsibility for health. "
U.K.,1972,"With life expectancy growing, and the threat of communicable diseases greatly diminishing with vaccine rollouts - priority was now given to preventable deaths. Causes of increased mortality like lung disease, coronary heart disease, cirrhosis of the liver were all largely caused by poor lifestyles, stressing the importance of individual prevention and responsibility for health. "
U.K.,1973,Whooping cough cases to zero following successful immunisation program. Increased rates of infant/child survivability
U.K.,1974,"Family planning services implemented as a core part of the NHS, contraceptives would be supplied to women regardless of marital status. "
U.K.,1975,
U.K.,1976,
U.K.,1977,
U.K.,1978,
U.K.,1979,
U.K.,1980,
U.K.,1981,
U.K.,1982,pollution 
U.K.,1983,
U.K.,1984,
U.K.,1985,
U.K.,1986,
U.K.,1987,
U.K.,1988,
U.K.,1989,
U.K.,1990,
U.K.,1991,
U.K.,1992,
U.K.,1993,
U.K.,1994,
U.K.,1995,
U.K.,1996,
U.K.,1997,
U.K.,1998,
U.K.,1999,
U.K.,2000,"The early 2000s continued to advance preventative care, progressively implementing anti-smoking initiatives and aiding the public with information to make healthy choices. Aiming to reduce deaths from non-communicable diseases by addressing sedentary lifestyles and all-time high obesity rates through social marketing campaigns such as Change4Life - targeted towards children and families."
U.K.,2001,
U.K.,2002,
U.K.,2003,congestion charge
U.K.,2004,
U.K.,2005,
U.K.,2006,
U.K.,2007,"Smoking ban, illegal to smoke in any enclosed spaces  following increasing number of hospital admissions of children with asthma. Food and drink high in fat and sugar banned from television aimed at children. "
U.K.,2008,hpv vaccine
U.K.,2009,
U.K.,2010,With the release of the Marmot Review - an evidenced case that healthcare outcomes were heavily predetermined by social determinants -  the 2010s aimed now to address healthcare inequalities. And the growing demographic shift towards an aging population had been reflected in care with dementia services and chronic condition screenings becoming heavily integrated.
U.K.,2011,
U.K.,2012,
U.K.,2013,traffic light labelling food
U.K.,2014,
U.K.,2015,wellbeing of future generation act - antimicrobial resistance + less prescribing 
U.K.,2016,
U.K.,2017,
U.K.,2018,Establishment of the 'Soft Drink Industry Levy' to incentivize shift to low-sugar products - governmental strategy to tackle childhood obesity. 
U.K.,2019,
U.K.,2020,"long/covid, multimorbidity, childhood obesity  - all greater risk in deprived areas, pressure on service = poor accessibility. "
